"filename", "language", "Java", "Markdown", "JSON", "comment", "blank", "total"
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-17_23-50-48\details.md", "Markdown", 0, 103, 0, 0, 6, 109
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-17_23-50-48\diff-details.md", "Markdown", 0, 45, 0, 0, 6, 51
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-17_23-50-48\diff.md", "Markdown", 0, 34, 0, 0, 7, 41
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-17_23-50-48\results.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-17_23-50-48\results.md", "Markdown", 0, 42, 0, 0, 7, 49
"d:\Code\JavGameTest\bin\entities\Chomp.class", "Java", 1, 0, 0, 0, 0, 1
"d:\Code\JavGameTest\bin\entities\Enemy.class", "Java", 1, 0, 0, 0, 0, 1
"d:\Code\JavGameTest\bin\entities\Entity.class", "Java", -1, 0, 0, 0, 0, -1
"d:\Code\JavGameTest\bin\entities\Player.class", "Java", 11, 0, 0, 0, 0, 11
"d:\Code\JavGameTest\bin\gamestates\Menu.class", "Java", -4, 0, 0, 0, 0, -4
"d:\Code\JavGameTest\bin\main\Game.class", "Java", -1, 0, 0, 0, 0, -1
"d:\Code\JavGameTest\bin\utilz\Constants$PlayerConstants.class", "Java", -1, 0, 0, 0, 0, -1
"d:\Code\JavGameTest\bin\utilz\LoadSave.class", "Java", 3, 0, 0, 0, 0, 3
"d:\Code\JavGameTest\src\entities\Chomp.java", "Java", -3, 0, 0, 0, 0, -3
"d:\Code\JavGameTest\src\entities\Enemy.java", "Java", 5, 0, 0, 0, 0, 5
"d:\Code\JavGameTest\src\entities\EnemyManager.java", "Java", -5, 0, 0, 1, 0, -4
"d:\Code\JavGameTest\src\entities\Entity.java", "Java", -1, 0, 0, 0, -1, -2
"d:\Code\JavGameTest\src\entities\Player.java", "Java", 11, 0, 0, -1, 1, 11
"d:\Code\JavGameTest\src\gamestates\Menu.java", "Java", -3, 0, 0, 0, 0, -3
"d:\Code\JavGameTest\src\gamestates\Playing.java", "Java", -2, 0, 0, 0, 0, -2
"d:\Code\JavGameTest\src\inputs\KeyboardInputs.java", "Java", 0, 0, 0, -1, 1, 0
"d:\Code\JavGameTest\src\inputs\MouseInputs.java", "Java", 0, 0, 0, -3, 3, 0
"d:\Code\JavGameTest\src\ui\PauseOverlay.java", "Java", -1, 0, 0, 0, 0, -1
"d:\Code\JavGameTest\src\utilz\Constants.java", "Java", 2, 0, 0, 0, 0, 2
"d:\Code\JavGameTest\src\utilz\LoadSave.java", "Java", 8, 0, 0, -2, 1, 7
"Total", "-", 20, 224, 1, -6, 31, 270
